review_id,review_text,rating,label,label_name
1,Excellent! Great! Highly recommend!,5,1,Fake
2,Outstanding! Magnificent! Wonderful! Buy immediately!,5,1,Fake
3,Wonderful product! Amazing quality! Must buy!,5,1,Fake
4,The product serves its purpose. Build quality is average.,4,0,Genuine
5,The product is fine for everyday use. Not for professional purposes.,3,0,Genuine
6,It works fine. Not particularly impressed but no major complaints.,4,0,Genuine
7,Great value! Top rated! Buy today!,5,1,Fake
8,Good for beginners. More experienced users might find it limiting.,4,0,Genuine
9,It's serviceable. Does what it needs to do without issues.,4,0,Genuine
10,Best purchase! Great product! Buy immediately!,5,1,Fake
11,Excellent quality! Great price! Order now!,5,1,Fake
12,Good for simple tasks. Might struggle with complex ones.,4,0,Genuine
13,It does the job adequately. Nothing to complain about really.,4,0,Genuine
14,Amazing deal! Best buy! Order immediately!,5,1,Fake
15,Good starter product. You'll probably want to upgrade eventually.,4,0,Genuine
16,Works adequately. The controls take some getting used to.,4,0,Genuine
17,Amazing! Excellent! Best purchase ever!,5,1,Fake
18,"Works as expected. Delivery was standard, nothing special.",4,0,Genuine
19,Excellent! Great! Best ever! Order today!,5,1,Fake
20,Perfect! Fantastic! Best in class!,5,1,Fake
21,It's serviceable. Would be nice if it had better build quality.,4,0,Genuine
22,Super fast delivery! Amazing quality! Best buy! Order now!,5,1,Fake
23,Fair quality for the price. Had minor issues with assembly.,3,0,Genuine
24,Amazing! Outstanding! Must have!,5,1,Fake
25,Wonderful! Outstanding! Best buy!,5,1,Fake
26,Outstanding value! Amazing quality! Buy immediately!,5,1,Fake
27,Amazing! Fantastic! Top quality! Get yours!,5,1,Fake
28,Best product! Amazing! Get it immediately!,5,1,Fake
29,Decent item. The instructions could be clearer.,3,0,Genuine
30,Works decently. I would prefer more color options.,5,0,Genuine
31,Amazing amazing amazing! Buy this right now! You won't regret!,5,1,Fake
32,Absolutely fantastic! Buy it today! You'll love it!,5,1,Fake
33,Wonderful product! Best seller! Get it today!,5,1,Fake
34,Excellent value! Top quality! Must have!,5,1,Fake
35,Good starter option. You might want to upgrade later.,4,0,Genuine
36,Works as described. The material feels a bit cheap but it's functional.,3,0,Genuine
37,Reasonable purchase. The material feels a bit flimsy.,3,0,Genuine
38,Good for the price. Don't expect premium quality though.,4,0,Genuine
39,The quality is acceptable. Had one small issue but fixed it.,4,0,Genuine
40,Best product ever! Great price! Buy now!,5,1,Fake
41,Great product! Excellent quality! Get it today!,5,1,Fake
42,Good product for casual users. Pros might need something more robust.,3,0,Genuine
43,Perfect purchase! Best decision! Buy now!,5,1,Fake
44,Amazing! Wonderful! Perfect! Buy this now!,5,1,Fake
45,Pretty average product. It serves its purpose adequately.,5,0,Genuine
46,Works adequately. The build quality is acceptable.,4,0,Genuine
47,Great deal! Best purchase! Highly recommend!,5,1,Fake
